"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Clamorous Reed Warbler","Acrocephalus stentoreus","Clamorous Reed Warbler (Indian Great Reed Warbler)"
"Great/Oriental/Clamorous Reed Warbler","Acrocephalus arundinaceus/orientalis/stentoreus","Great/Oriental/Clamorous Reed Warbler"
"Acrocephalus sp.","Acrocephalus sp.","Acrocephalus warbler sp."
"Iduna/Hippolais/Acrocephalus sp.","Iduna/Hippolais/Acrocephalus sp.","Iduna/Hippolais/Acrocephalus warbler sp."
"Pallas's Grasshopper Warbler","Helopsaltes certhiola","Pallas's Grasshopper Warbler"
"Lanceolated Warbler","Locustella lanceolata","Lanceolated Warbler"
"Brown Bush Warbler","Locustella luteoventris","Brown Bush Warbler"
"Common Grasshopper Warbler","Locustella naevia","Common Grasshopper Warbler"
"Lanceolated/Common Grasshopper Warbler","Locustella lanceolata/naevia","Lanceolated/Common Grasshopper Warbler"
"Long-billed Bush Warbler","Locustella major","Long-billed Bush Warbler"
"Chinese Bush Warbler","Locustella tacsanowskia","Chinese Bush Warbler"
"Baikal Bush Warbler","Locustella davidi","Baikal Bush Warbler"
"Chinese/Baikal Bush Warbler","Locustella tacsanowskia/davidi","Chinese/Baikal Bush Warbler"
"West Himalayan Bush Warbler","Locustella kashmirensis","West Himalayan Bush Warbler"
"Spotted Bush Warbler","Locustella thoracica","Spotted Bush Warbler"
"Baikal/Spotted Bush Warbler","Locustella davidi/thoracica","Baikal/Spotted Bush Warbler"
"Russet Bush Warbler","Locustella mandelli","Russet Bush Warbler"
"Brown/Russet Bush Warbler","Locustella luteoventris/mandelli","Brown/Russet Bush Warbler"
"Locustella sp.","Locustella sp.","Locustella warbler sp."
"Helopsaltes/Locustella sp.","Helopsaltes/Locustella sp.","Helopsaltes/Locustella warbler sp."
"Broad-tailed Grassbird","Schoenicola platyurus","Broad-tailed Grassbird"
"Bristled Grassbird","Schoenicola striatus","Bristled Grassbird"
"Striated Grassbird","Megalurus palustris","Striated Grassbird"
"Poodytes/Cincloramphus/Megalurus sp.","Poodytes/Cincloramphus/Megalurus sp.","Poodytes/Cincloramphus/Megalurus grassbird sp."
"Bradypterus sp.","Bradypterus sp.","Bradypterus warbler sp."
"Scaly-breasted Cupwing","Pnoepyga albiventer","Scaly-breasted Cupwing (Scaly-breasted Wren-babbler)"
"Immaculate Cupwing","Pnoepyga immaculata","Immaculate Cupwing (Nepal Wren-babbler)"
"Scaly-breasted/Immaculate Cupwing","Pnoepyga albiventer/immaculata","Scaly-breasted/Immaculate Cupwing"
"Pygmy Cupwing","Pnoepyga pusilla","Pygmy Cupwing (Pygmy Wren-babbler)"
"cupwing sp.","Pnoepyga sp.","cupwing sp."
"Gray-throated Martin","Riparia chinensis","Grey-throated Martin (Plain Martin)"
"Bank Swallow","Riparia riparia","Bank Swallow (Sand Martin)"
"Gray-throated Martin/Bank Swallow","Riparia chinensis/riparia","Grey-throated Martin/Bank Swallow"
"Pale Martin","Riparia diluta","Pale Martin (Pale Sand Martin)"
"Bank Swallow/Pale Martin","Riparia riparia/diluta","Bank Swallow/Pale Martin"
"Riparia sp.","Riparia sp.","Riparia martin/swallow sp."
"Eurasian Crag-Martin","Ptyonoprogne rupestris","Eurasian Crag-Martin"
"Rock Martin","Ptyonoprogne fuligula","Rock Martin"
"Eurasian Crag-Martin/Rock Martin","Ptyonoprogne rupestris/fuligula","Eurasian Crag-Martin/Rock Martin"
"Dusky Crag-Martin","Ptyonoprogne concolor","Dusky Crag-Martin"
"Eurasian/Dusky Crag-Martin","Ptyonoprogne rupestris/concolor","Eurasian/Dusky Crag-Martin"
"Hill Swallow","Hirundo domicola","Hill Swallow (House Swallow)"
"Pacific Swallow","Hirundo tahitica","Pacific Swallow"
"Barn/Pacific Swallow","Hirundo rustica/tahitica","Barn/Pacific Swallow"
"Barn Swallow","Hirundo rustica","Barn Swallow"
"Wire-tailed Swallow","Hirundo smithii","Wire-tailed Swallow"
"Western House-Martin","Delichon urbicum","Northern House-Martin (Western House-Martin)"
"Siberian House-Martin","Delichon lagopodum","Siberian House-Martin"
"Asian House-Martin","Delichon dasypus","Asian House-Martin"
"Siberian/Asian House-Martin","Delichon lagopodum/dasypus","Siberian/Asian House-Martin"
"Nepal House-Martin","Delichon nipalense","Nepal House-Martin"
"house-martin sp.","Delichon sp.","house-martin sp."
"Red-rumped Swallow","Cecropis daurica","Red-rumped Swallow"
"Striated Swallow","Cecropis striolata","Striated Swallow"
"Red-rumped/Striated Swallow","Cecropis daurica/striolata","Red-rumped/Striated Swallow"
"Streak-throated Swallow","Petrochelidon fluvicola","Streak-throated Swallow"
"swallow sp.","Hirundinidae sp.","martin/swallow sp."
"White-throated Bulbul","Alophoixus flaveolus","White-throated Bulbul"
"Striated Bulbul","Alcurus striatus","Striated Bulbul"
"Cachar Bulbul","Iole cacharensis","Cachar Bulbul (Indian Olive Bulbul)"
"Gray-eyed Bulbul","Iole propinqua","Grey-eyed Bulbul"
"Ashy Bulbul","Hemixos flavala","Ashy Bulbul"
"Yellow-browed Bulbul","Acritillas indica","Yellow-browed Bulbul"
"Mountain Bulbul","Ixos mcclellandii","Mountain Bulbul"
"Nicobar Bulbul","Ixos nicobariensis","Nicobar Bulbul"
"Black Bulbul","Hypsipetes leucocephalus","Himalayan Black Bulbul"
"Square-tailed Bulbul","Hypsipetes ganeesa","Square-tailed Bulbul (Black Bulbul)"
"Gray-headed Bulbul","Microtarsus priocephalus","Grey-headed Bulbul"
"Black-headed Bulbul","Microtarsus melanocephalos","Black-headed Bulbul"
"Andaman Bulbul","Microtarsus fuscoflavescens","Andaman Bulbul"
"Black-crested Bulbul","Rubigula flaviventris","Black-crested Bulbul"
"Flame-throated Bulbul","Rubigula gularis","Flame-throated Bulbul (Ruby-throated Bulbul)"
"Crested Finchbill","Spizixos canifrons","Crested Finchbill"
"White-browed Bulbul","Pycnonotus luteolus","White-browed Bulbul"
"Flavescent Bulbul","Pycnonotus flavescens","Flavescent Bulbul"
"Yellow-throated Bulbul","Pycnonotus xantholaemus","Yellow-throated Bulbul"
"Red-whiskered Bulbul","Pycnonotus jocosus","Red-whiskered Bulbul"
"Red-vented Bulbul","Pycnonotus cafer","Red-vented Bulbul"
"Red-whiskered/Red-vented Bulbul","Pycnonotus jocosus/cafer","Red-whiskered/Red-vented Bulbul"
"White-eared Bulbul","Pycnonotus leucotis","White-eared Bulbul"
"Himalayan Bulbul","Pycnonotus leucogenys","Himalayan Bulbul"
"Pycnonotus sp.","Pycnonotus sp.","Pycnonotus bulbul sp."
"Microtarsus/Rubigula/Pycnonotus sp.","Microtarsus/Rubigula/Pycnonotus sp.","Microtarsus/Rubigula/Pycnonotus bulbul sp."
"Pycnonotidae sp.","Pycnonotidae sp.","bulbul sp."
"Wood Warbler","Phylloscopus sibilatrix","Wood Warbler"
"Ashy-throated Warbler","Phylloscopus maculipennis","Ashy-throated Warbler"
"Buff-barred Warbler","Phylloscopus pulcher","Buff-barred Warbler"
"Yellow-browed Warbler","Phylloscopus inornatus","Yellow-browed Warbler"
"Hume's Warbler","Phylloscopus humei","Hume's Warbler"
"Yellow-browed/Hume's Warbler","Phylloscopus inornatus/humei","Yellow-browed/Hume's Warbler"
"Brooks's Leaf Warbler","Phylloscopus subviridis","Brooks's Leaf Warbler"
"Chinese Leaf Warbler","Phylloscopus yunnanensis","Chinese Leaf Warbler"
"Pallas's Leaf Warbler","Phylloscopus proregulus","Pallas's Leaf Warbler"
"Lemon-rumped Warbler","Phylloscopus chloronotus","Lemon-rumped Warbler"
"Sichuan Leaf Warbler","Phylloscopus forresti","Sichuan Leaf Warbler"
"Lemon-rumped/Sichuan Leaf Warbler","Phylloscopus chloronotus/forresti","Lemon-rumped/Sichuan Leaf Warbler"
"Tytler's Leaf Warbler","Phylloscopus tytleri","Tytler's Leaf Warbler"
"Sulphur-bellied Warbler","Phylloscopus griseolus","Sulphur-bellied Warbler"
"Tickell's Leaf Warbler","Phylloscopus affinis","Tickell's Leaf Warbler"
"Sulphur-bellied/Tickell's Leaf Warbler","Phylloscopus griseolus/affinis","Sulphur-bellied/Tickell's Leaf Warbler"
"Dusky Warbler","Phylloscopus fuscatus","Dusky Warbler"
"Radde's/Dusky Warbler","Phylloscopus schwarzi/fuscatus","Radde's/Dusky Warbler"
"Smoky Warbler","Phylloscopus fuligiventer","Smoky Warbler"
"Dusky/Smoky Warbler","Phylloscopus fuscatus/fuligiventer","Dusky/Smoky Warbler"
"Plain Leaf Warbler","Phylloscopus neglectus","Plain Leaf Warbler"
"Buff-throated Warbler","Phylloscopus subaffinis","Buff-throated Warbler"
"Willow Warbler","Phylloscopus trochilus","Willow Warbler"
"Mountain Chiffchaff","Phylloscopus sindianus","Mountain Chiffchaff"
"Common Chiffchaff","Phylloscopus collybita","Common Chiffchaff"
"Mountain/Common Chiffchaff","Phylloscopus sindianus/collybita","Mountain/Common Chiffchaff"
"White-spectacled Warbler","Phylloscopus intermedius","White-spectacled Warbler"
"Gray-cheeked Warbler","Phylloscopus poliogenys","Grey-cheeked Warbler"
"Green-crowned Warbler","Phylloscopus burkii","Green-crowned Warbler (Golden-spectacled Warbler)"
"Gray-crowned Warbler","Phylloscopus tephrocephalus","Grey-crowned Warbler"
"Whistler's Warbler","Phylloscopus whistleri","Whistler's Warbler"
"Green-crowned/Whistler's Warbler","Phylloscopus burkii/whistleri","Green-crowned/Whistler's Warbler"
"Gray-crowned/Whistler's Warbler","Phylloscopus tephrocephalus/whistleri","Grey-crowned/Whistler's Warbler"
"Phylloscopus sp. (Golden-spectacled Warbler complex)","Phylloscopus sp. (burkii complex)","Phylloscopus warbler sp. (Golden-spectacled Warbler complex)"
"Green Warbler","Phylloscopus nitidus","Green Warbler"
"Greenish Warbler","Phylloscopus trochiloides","Greenish Warbler"
"Green/Greenish Warbler","Phylloscopus nitidus/trochiloides","Green/Greenish Warbler"
"Two-barred Warbler","Phylloscopus plumbeitarsus","Two-barred Warbler"
"Greenish/Two-barred Warbler","Phylloscopus trochiloides/plumbeitarsus","Greenish/Two-barred Warbler"
"Large-billed Leaf Warbler","Phylloscopus magnirostris","Large-billed Leaf Warbler"
"Greenish/Large-billed Leaf Warbler","Phylloscopus trochiloides/magnirostris","Greenish/Large-billed Leaf Warbler"
"Pale-legged Leaf Warbler","Phylloscopus tenellipes","Pale-legged Leaf Warbler"
"Sakhalin Leaf Warbler","Phylloscopus borealoides","Sakhalin Leaf Warbler"
"Pale-legged/Sakhalin Leaf Warbler","Phylloscopus tenellipes/borealoides","Pale-legged/Sakhalin Leaf Warbler"
"Arctic Warbler","Phylloscopus borealis","Arctic Warbler"
"Chestnut-crowned Warbler","Phylloscopus castaniceps","Chestnut-crowned Warbler"
"Yellow-vented Warbler","Phylloscopus cantator","Yellow-vented Warbler"
"Western Crowned Warbler","Phylloscopus occipitalis","Western Crowned Warbler"
"Blyth's Leaf Warbler","Phylloscopus reguloides","Blyth's Leaf Warbler"
"Claudia's Leaf Warbler","Phylloscopus claudiae","Claudia's Leaf Warbler"
"Gray-hooded Warbler","Phylloscopus xanthoschistos","Grey-hooded Warbler"
"Phylloscopus sp.","Phylloscopus sp.","Phylloscopus warbler sp."
"Pale-footed Bush Warbler","Hemitesia pallidipes","Pale-footed Bush Warbler"
"Asian Stubtail","Urosphena squameiceps","Asian Stubtail"
"Gray-bellied Tesia","Tesia cyaniventer","Grey-bellied Tesia"
"Slaty-bellied Tesia","Tesia olivea","Slaty-bellied Tesia"
"Gray-bellied/Slaty-bellied Tesia","Tesia cyaniventer/olivea","Grey-bellied/Slaty-bellied Tesia"
"tesia sp. (genus Tesia)","Tesia sp.","tesia sp. (genus Tesia)"
"Chestnut-crowned Bush Warbler","Cettia major","Chestnut-crowned Bush Warbler"
"Gray-sided Bush Warbler","Cettia brunnifrons","Grey-sided Bush Warbler"
"Chestnut-headed Tesia","Cettia castaneocoronata","Chestnut-headed Tesia"
"Cetti's Warbler","Cettia cetti","Cetti's Warbler"
"Cettia sp.","Cettia sp.","Cettia warbler sp."
"Yellow-bellied Warbler","Abroscopus superciliaris","Yellow-bellied Warbler"
"Rufous-faced Warbler","Abroscopus albogularis","Rufous-faced Warbler"
"Black-faced Warbler","Abroscopus schisticeps","Black-faced Warbler"
"Mountain Tailorbird","Phyllergates cucullatus","Mountain Tailorbird"
"Broad-billed Warbler","Tickellia hodgsoni","Broad-billed Warbler"
"Mountain Tailorbird/Broad-billed Warbler","Phyllergates cucullatus/Tickellia hodgsoni","Mountain Tailorbird/Broad-billed Warbler"
"Manchurian Bush Warbler","Horornis canturians","Manchurian Bush Warbler"
"Brownish-flanked Bush Warbler","Horornis fortipes","Brownish-flanked Bush Warbler"
"Hume's Bush Warbler","Horornis brunnescens","Hume's Bush Warbler"
"Brownish-flanked/Yellowish-bellied Bush Warbler","Horornis fortipes/acanthizoides","Brownish-flanked/Yellowish-bellied Bush Warbler"
"Aberrant Bush Warbler","Horornis flavolivaceus","Aberrant Bush Warbler"
"Horornis sp.","Horornis sp.","Horornis sp."
"White-browed Tit-Warbler","Leptopoecile sophiae","White-browed Tit-Warbler"
"Crested Tit-Warbler","Leptopoecile elegans","Crested Tit-Warbler"
"Black-throated Tit","Aegithalos concinnus","Black-throated Tit (Black-throated Bushtit)"
"White-throated Tit","Aegithalos niveogularis","White-throated Tit (White-throated Bushtit)"
"Black-browed Tit","Aegithalos iouschistos","Black-browed/Rufous-fronted Bushtit"
"Eurasian Blackcap","Sylvia atricapilla","Eurasian Blackcap"
"Garden Warbler","Sylvia borin","Garden Warbler"
"Barred Warbler","Curruca nisoria","Barred Warbler"
"Lesser Whitethroat","Curruca curruca","Lesser Whitethroat"
"Eastern Orphean Warbler","Curruca crassirostris","Eastern Orphean Warbler"
"Western/Eastern Orphean Warbler","Curruca hortensis/crassirostris","Western/Eastern Orphean Warbler"
"Asian Desert Warbler","Curruca nana","Asian Desert Warbler"
"Greater Whitethroat","Curruca communis","Greater Whitethroat (Common Whitethroat)"
"Sylvia/Curruca sp.","Sylvia/Curruca sp.","Sylvia warbler sp."
"old world warbler sp.","Passeriformes sp. (Old World warbler sp.)","Warbler sp."
"Fire-tailed Myzornis","Myzornis pyrrhoura","Fire-tailed Myzornis"
"Golden-breasted Fulvetta","Lioparus chrysotis","Golden-breasted Fulvetta"
"Yellow-eyed Babbler","Chrysomma sinense","Yellow-eyed Babbler"
"Jerdon's Babbler","Chrysomma altirostre","Jerdon's Babbler"
"Brown-throated Fulvetta","Fulvetta ludlowi","Brown-throated Fulvetta (Ludlow's Fulvetta)"
"White-browed Fulvetta","Fulvetta vinipectus","White-browed Fulvetta"
"Manipur Fulvetta","Fulvetta manipurensis","Manipur Fulvetta"
"fulvetta sp. (genus Fulvetta)","Fulvetta sp.","fulvetta sp. (genus Fulvetta)"
"Black-breasted Parrotbill","Paradoxornis flavirostris","Black-breasted Parrotbill"
"Spot-breasted Parrotbill","Paradoxornis guttaticollis","Spot-breasted Parrotbill"
"Great Parrotbill","Conostoma aemodium","Great Parrotbill"
"Brown Parrotbill","Cholornis unicolor","Brown Parrotbill"
"Gray-headed Parrotbill","Psittiparus gularis","Grey-headed Parrotbill"
"White-breasted Parrotbill","Psittiparus ruficeps","White-breasted Parrotbill (Greater Rufous-headed Parrotbill)"
"Rufous-headed Parrotbill","Psittiparus bakeri","Rufous-headed Parrotbill"
"Fulvous Parrotbill","Suthora fulvifrons","Fulvous Parrotbill"
"Black-throated Parrotbill","Suthora nipalensis","Black-throated Parrotbill"
"Pale-billed Parrotbill","Suthora atrosuperciliaris","Pale-billed Parrotbill (Lesser Rufous-headed Parrotbill)"
"parrotbill sp.","Paradoxornithidae sp.","parrotbill sp."
"Striated Yuhina","Staphida castaniceps","Striated Yuhina"
"Black-chinned Yuhina","Yuhina nigrimenta","Black-chinned Yuhina"
"Whiskered Yuhina","Yuhina flavicollis","Whiskered Yuhina"
"White-naped Yuhina","Yuhina bakeri","White-naped Yuhina"
"Stripe-throated Yuhina","Yuhina gularis","Stripe-throated Yuhina"
"Rufous-vented Yuhina","Yuhina occipitalis","Rufous-vented Yuhina"
"yuhina sp.","Parayuhina/Staphida/Yuhina sp.","yuhina sp."
"Chestnut-flanked White-eye","Zosterops erythropleurus","Chestnut-flanked White-eye"
"Indian White-eye","Zosterops palpebrosus","Indian White-eye (Oriental White-eye)"
"Swinhoe's/Indian White-eye","Zosterops simplex/palpebrosus","Swinhoe's/Indian White-eye"
"Zosterops sp.","Zosterops sp.","Zosterops white-eye sp."
"white-eye sp.","Zosteropidae sp.","white-eye sp."
"Chestnut-capped Babbler","Timalia pileata","Chestnut-capped Babbler"
"Tawny-bellied Babbler","Dumetia hyperythra","Tawny-bellied Babbler"
"Dark-fronted Babbler","Dumetia atriceps","Dark-fronted Babbler"
"Pin-striped Tit-Babbler","Mixornis gularis","Pin-striped Tit-Babbler"
"Gray-faced/Pin-striped Tit-Babbler","Mixornis kelleyi/gularis","Grey-faced/Pin-striped Tit-Babbler"
"Golden Babbler","Cyanoderma chrysaeum","Golden Babbler"
"Black-chinned Babbler","Cyanoderma pyrrhops","Black-chinned Babbler"
"Rufous-capped Babbler","Cyanoderma ruficeps","Rufous-capped Babbler"
"Buff-chested Babbler","Cyanoderma ambiguum","Buff-chested Babbler (Indian Rufous-fronted Babbler)"
"Cyanoderma sp.","Cyanoderma sp.","Cyanoderma babbler sp."
"Rufous-throated Wren-Babbler","Spelaeornis caudatus","Rufous-throated Wren-Babbler"
"Mishmi Wren-Babbler","Spelaeornis badeigularis","Mishmi Wren-Babbler (Rusty-throated Wren-Babbler)"
"Bar-winged Wren-Babbler","Spelaeornis troglodytoides","Bar-winged Wren-Babbler"
"Naga Wren-Babbler","Spelaeornis chocolatinus","Naga Wren-Babbler (Long-tailed Wren-Babbler)"
"Chin Hills Wren-Babbler","Spelaeornis oatesi","Chin Hills Wren-Babbler"
"Tawny-breasted Wren-Babbler","Spelaeornis longicaudatus","Tawny-breasted Wren-Babbler"
"Spelaeornis sp.","Spelaeornis sp.","Spelaeornis sp."
"Black-crowned Scimitar-Babbler","Pomatorhinus ferruginosus","Black-crowned Scimitar-Babbler"
"Brown-crowned Scimitar-Babbler","Pomatorhinus phayrei","Brown-crowned Scimitar-Babbler"
"Black-crowned/Brown-crowned Scimitar-Babbler","Pomatorhinus ferruginosus/phayrei","Black-crowned/Brown-crowned Scimitar-Babbler"
"Red-billed Scimitar-Babbler","Pomatorhinus ochraceiceps","Red-billed Scimitar-Babbler"
"Black-crowned/Red-billed Scimitar-Babbler","Pomatorhinus ferruginosus/ochraceiceps","Black-crowned/Red-billed Scimitar-Babbler"
"Brown-crowned/Red-billed Scimitar-Babbler","Pomatorhinus phayrei/ochraceiceps","Brown-crowned/Red-billed Scimitar-Babbler"
"Slender-billed Scimitar-Babbler","Pomatorhinus superciliaris","Slender-billed Scimitar-Babbler"
"Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis","Streak-breasted Scimitar-Babbler"
"White-browed Scimitar-Babbler","Pomatorhinus schisticeps","White-browed Scimitar-Babbler"
"Streak-breasted/White-browed Scimitar-Babbler","Pomatorhinus ruficollis/schisticeps","Streak-breasted/White-browed Scimitar-Babbler"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii","Indian Scimitar-Babbler"
"Pomatorhinus sp.","Pomatorhinus sp.","Pomatorhinus scimitar-babbler sp."
"Large Scimitar-Babbler","Erythrogenys hypoleucos","Large Scimitar-Babbler"
"Rusty-cheeked Scimitar-Babbler","Erythrogenys erythrogenys","Rusty-cheeked Scimitar-Babbler"
"Spot-breasted Scimitar-Babbler","Erythrogenys mcclellandi","Spot-breasted Scimitar-Babbler"
"Gray-throated Babbler","Stachyris nigriceps","Grey-throated Babbler"
"Sikkim Wedge-billed Babbler","Stachyris humei","Sikkim Wedge-billed Babbler (Blackish-breasted Babbler)"
"Cachar Wedge-billed Babbler","Stachyris roberti","Cachar Wedge-billed Babbler (Chevron-breasted Babbler)"
"Snowy-throated Babbler","Stachyris oglei","Snowy-throated Babbler"
"Stachyris sp.","Stachyris sp.","Stachyris babbler sp."
"Timaliidae sp.","Timaliidae sp.","Timaliidae babbler sp."
"Indian Grassbird","Graminicola bengalensis","Indian Grassbird (Rufous-rumped Grassbird)"
"White-hooded Babbler","Gampsorhynchus rufulus","White-hooded Babbler"
"Yellow-throated Fulvetta","Schoeniparus cinereus","Yellow-throated Fulvetta"
"Rufous-winged Fulvetta","Schoeniparus castaneceps","Rufous-winged Fulvetta"
"Rufous-throated Fulvetta","Schoeniparus rufogularis","Rufous-throated Fulvetta"
"Rusty-capped Fulvetta","Schoeniparus dubius","Rusty-capped Fulvetta"
"Schoeniparus sp.","Schoeniparus sp.","Schoeniparus babbler sp."
"Puff-throated Babbler","Pellorneum ruficeps","Puff-throated Babbler"
"Marsh Babbler","Pellorneum palustre","Marsh Babbler"
"Spot-throated Babbler","Pellorneum albiventre","Spot-throated Babbler"
"Buff-breasted Babbler","Pellorneum tickelli","Buff-breasted Babbler"
"Rufous-vented Grass Babbler","Laticilla burnesii","Rufous-vented Grass Babbler (Rufous-vented Prinia)"
"Swamp Grass Babbler","Laticilla cinerascens","Swamp Grass Babbler (Swamp Prinia)"
"Abbott's Babbler","Malacocincla abbotti","Abbott's Babbler"
"Streaked Wren-Babbler","Gypsophila brevicaudata","Streaked Wren-Babbler"
"Eyebrowed Wren-Babbler","Napothera epilepidota","Eyebrowed Wren-Babbler"
"Long-billed Wren-Babbler","Napothera malacoptila","Long-billed Wren-Babbler"
"Pellorneidae sp.","Pellorneidae sp.","Pellorneidae sp."
"Brown-cheeked Fulvetta","Alcippe poioicephala","Brown-cheeked Fulvetta"
"Nepal Fulvetta","Alcippe nipalensis","Nepal Fulvetta"
"Striated Laughingthrush","Grammatoptila striata","Striated Laughingthrush"
"Himalayan Cutia","Cutia nipalensis","Himalayan Cutia"
"Scaly Laughingthrush","Trochalopteron subunicolor","Scaly Laughingthrush"
"Brown-capped Laughingthrush","Trochalopteron austeni","Brown-capped Laughingthrush"
"Blue-winged Laughingthrush","Trochalopteron squamatum","Blue-winged Laughingthrush"
"Streaked Laughingthrush","Trochalopteron lineatum","Streaked Laughingthrush"
"Bhutan Laughingthrush","Trochalopteron imbricatum","Bhutan Laughingthrush"
"Striped Laughingthrush","Trochalopteron virgatum","Striped Laughingthrush"
"Variegated Laughingthrush","Trochalopteron variegatum","Variegated Laughingthrush"
"Black-faced Laughingthrush","Trochalopteron affine","Black-faced Laughingthrush"
"Elliot's Laughingthrush","Trochalopteron elliotii","Elliot's Laughingthrush"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","Chestnut-crowned Laughingthrush"
"Assam Laughingthrush","Trochalopteron chrysopterum","Assam Laughingthrush"
"Banasura Laughingthrush","Montecincla jerdoni","Banasura Laughingthrush (Banasura Chilappan)"
"Nilgiri Laughingthrush","Montecincla cachinnans","Nilgiri Laughingthrush (Nilgiri Chilappan)"
"Palani Laughingthrush","Montecincla fairbanki","Palani Laughingthrush (Palani Chilappan)"
"Ashambu Laughingthrush","Montecincla meridionalis","Ashambu Laughingthrush (Ashambu Chilappan)"
"Long-tailed Sibia","Heterophasia picaoides","Long-tailed Sibia"
"Rufous Sibia","Heterophasia capistrata","Rufous Sibia"
"Beautiful Sibia","Heterophasia pulchella","Beautiful Sibia"
"Gray Sibia","Heterophasia gracilis","Grey Sibia"
"Hoary-throated Barwing","Actinodura nipalensis","Hoary-throated Barwing"
"Streak-throated Barwing","Actinodura waldeni","Streak-throated Barwing"
"Hoary-throated/Streak-throated Barwing","Actinodura nipalensis/waldeni","Hoary-throated/Streak-throated Barwing"
"Blue-winged Minla","Actinodura cyanouroptera","Blue-winged Minla"
"Chestnut-tailed Minla","Actinodura strigula","Chestnut-tailed Minla (Bar-throated Siva)"
"Rusty-fronted Barwing","Actinodura egertoni","Rusty-fronted Barwing"
"Red-billed Leiothrix","Leiothrix lutea","Red-billed Leiothrix"
"Silver-eared Mesia","Leiothrix argentauris","Silver-eared Mesia"
"Red-tailed Minla","Minla ignotincta","Red-tailed Minla"
"Rufous-backed Sibia","Leioptila annectens","Rufous-backed Sibia"
"Bugun Liocichla","Liocichla bugunorum","Bugun Liocichla"
"Red-faced Liocichla","Liocichla phoenicea","Red-faced Liocichla"
"Large Gray Babbler","Argya malcolmi","Large Grey Babbler"
"Slender-billed Babbler","Argya longirostris","Slender-billed Babbler"
"Rufous Babbler","Argya subrufa","Rufous Babbler"
"Jungle Babbler","Argya striata","Jungle Babbler"
"Yellow-billed Babbler","Argya affinis","Yellow-billed Babbler"
"Jungle/Yellow-billed Babbler","Argya striata/affinis","Jungle/Yellow-billed Babbler"
"Common Babbler","Argya caudata","Common Babbler"
"Striated Babbler","Argya earlei","Striated Babbler"
"Common/Striated Babbler","Argya caudata/earlei","Common/Striated Babbler"
"Argya/Turdoides sp.","Argya/Turdoides sp.","Turdoides babbler sp."
"Spot-breasted Laughingthrush","Garrulax merulinus","Spot-breasted Laughingthrush"
"Lesser Necklaced Laughingthrush","Garrulax monileger","Lesser Necklaced Laughingthrush"
"White-crested Laughingthrush","Garrulax leucolophus","White-crested Laughingthrush"
"Garrulax sp.","Garrulax sp.","Garrulax laughingthrush sp."
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis","Rufous-chinned Laughingthrush"
"Moustached Laughingthrush","Ianthocincla cineracea","Moustached Laughingthrush"
"Spotted Laughingthrush","Ianthocincla ocellata","Spotted Laughingthrush"
"Wayanad Laughingthrush","Pterorhinus delesserti","Wayanad Laughingthrush"
"Rufous-vented Laughingthrush","Pterorhinus gularis","Rufous-vented Laughingthrush"
"Yellow-throated Laughingthrush","Pterorhinus galbanus","Yellow-throated Laughingthrush"
"Rufous-necked Laughingthrush","Pterorhinus ruficollis","Rufous-necked Laughingthrush"
"Chestnut-backed Laughingthrush","Pterorhinus nuchalis","Chestnut-backed Laughingthrush"
"White-browed Laughingthrush","Pterorhinus sannio","White-browed Laughingthrush"
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis","Greater Necklaced Laughingthrush"
"Lesser/Greater Necklaced Laughingthrush","Garrulax monileger/Pterorhinus pectoralis","Lesser/Greater Necklaced Laughingthrush"
"Mount Victoria Babax","Pterorhinus woodi","Mount Victoria Babax"
"White-throated Laughingthrush","Pterorhinus albogularis","White-throated Laughingthrush"
"Gray-sided Laughingthrush","Pterorhinus caerulatus","Grey-sided Laughingthrush"
"laughingthrush sp.","Leiothrichidae sp. (laughingthrush sp.)","laughingthrush sp."
"Goldcrest","Regulus regulus","Goldcrest"
"Wallcreeper","Tichodroma muraria","Wallcreeper"
"White-cheeked Nuthatch","Sitta leucopsis","White-cheeked Nuthatch"
"Beautiful Nuthatch","Sitta formosa","Beautiful Nuthatch"
"Velvet-fronted Nuthatch","Sitta frontalis","Velvet-fronted Nuthatch"
"Velvet-fronted/Yellow-billed Nuthatch","Sitta frontalis/solangiae","Velvet-fronted/Yellow-billed Nuthatch"
"Yunnan Nuthatch","Sitta yunnanensis","Yunnan Nuthatch"
"White-tailed Nuthatch","Sitta himalayensis","White-tailed Nuthatch"
"Indian Nuthatch","Sitta castanea","Indian Nuthatch"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris","Chestnut-bellied Nuthatch"
"Indian/Chestnut-bellied Nuthatch","Sitta castanea/cinnamoventris","Indian/Chestnut-bellied Nuthatch"
"Chestnut-bellied/Burmese Nuthatch","Sitta cinnamoventris/neglecta","Chestnut-bellied/Burmese Nuthatch"
"Chestnut-vented Nuthatch","Sitta nagaensis","Chestnut-vented Nuthatch"
"Kashmir Nuthatch","Sitta cashmirensis","Kashmir Nuthatch"
"nuthatch sp.","Sitta sp.","nuthatch sp."
